ProjectName Status Code SCM HTTPURL RepoURL
a2rms active Yes Git https://git.code.sf.net/p/a2rms/code git://git.code.sf.net/p/a2rms/code
aa rotten No
aafftannarborfa active No
aafrag active No
aba4633 active No
abacas active No
abbot active Yes SVN https://svn.code.sf.net/p/abbot/svn/trunk svn://svn.code.sf.net/p/abbot/svn/trunk
abc active No
abc-sde active No
abc-sysbio active Yes SVN https://svn.code.sf.net/p/abc-sysbio/code/trunk svn://svn.code.sf.net/p/abc-sysbio/code/trunk
abi2xml moved No
abmapper active Yes SVN https://svn.code.sf.net/p/abmapper/svn/ svn://svn.code.sf.net/p/abmapper/svn/
abmining active Yes Git https://git.code.sf.net/p/abmining/code git://git.code.sf.net/p/abmining/code
abtools active Yes SVN https://svn.code.sf.net/p/abtools/code/ svn://svn.code.sf.net/p/abtools/code/
abyssgrid active No
acaciaerrorcorr active No
acado active No
acarsdec moved No
accessanalysis active No
acedhs active No
aceunit active Yes SVN https://svn.code.sf.net/p/aceunit/code/trunk svn://svn.code.sf.net/p/aceunit/code/trunk
aceunit active Yes Git https://git.code.sf.net/p/aceunit/aceunit.git git://git.code.sf.net/p/aceunit/aceunit.git
acopost active Yes Git https://git.code.sf.net/p/acopost/code git://git.code.sf.net/p/acopost/code
acostatrafficscenariotester active Yes Git https://git.code.sf.net/p/acostatrafficscenariotester/code git://git.code.sf.net/p/acostatrafficscenariotester/code
acrash active No
adamajava moved Yes SVN https://svn.code.sf.net/p/adamajava/code/trunk svn://svn.code.sf.net/p/adamajava/code/trunk
adawat active No
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere361liberohr
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere-test-suite
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-mjmckay
adempiere active Yes SVN https://svn.code.sf.net/p/adempiere/svn/ svn://svn.code.sf.net/p/adempiere/svn/
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-adaxa
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-kkalice-docbook
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contributions-lbr
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere361libero
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/libero-code
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/extension-libero-hr-and-payroll
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere-old
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-adroid
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-adev-ci-rollout
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-costing-engine
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/extension-libero-manufacturing
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/localizations
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere361
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-smart-browser
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-warehouse-management
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-kittiu
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contributions-code
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/eevolution
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/localization-br
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/config
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-kkalice-migrate
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/adempiere-all
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contribution-kkalice-rpm
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/code
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/contributions-metas-schaeffer-highlight-fields
adempiere active Yes Mercurial None http://hg.code.sf.net/p/adempiere/localization-co
adlint active Yes SVN https://svn.code.sf.net/p/adlint/code/ svn://svn.code.sf.net/p/adlint/code/
adtex active No
adtoolkit active No
adv-vehicle-sim active Yes SVN https://svn.code.sf.net/p/adv-vehicle-sim/code/application/branches/advisor svn://svn.code.sf.net/p/adv-vehicle-sim/code/application/branches/advisor
adv-vehiclesim rotten No
advancemame active Yes Git https://git.code.sf.net/p/advancemame/makebootfat git://git.code.sf.net/p/advancemame/makebootfat
advancemame active Yes Git https://git.code.sf.net/p/advancemame/advancecd git://git.code.sf.net/p/advancemame/advancecd
advants active Yes Git https://git.code.sf.net/p/advants/code git://git.code.sf.net/p/advants/code
advants active Yes SVN https://svn.code.sf.net/p/advants/svn/trunk svn://svn.code.sf.net/p/advants/svn/trunk
advants active Yes Git https://git.code.sf.net/p/advants/kaena git://git.code.sf.net/p/advants/kaena
adversarialib active No
advtor active No
aerodynamics active No
afner active Yes Git https://git.code.sf.net/p/afner/git git://git.code.sf.net/p/afner/git
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2011
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2013
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2011-1
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2012
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2013-1
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/afp-2013-2
afp active Yes Mercurial None http://hg.code.sf.net/p/afp/devel
afsmseq active No
agg active Yes SVN https://svn.code.sf.net/p/agg/svn/ svn://svn.code.sf.net/p/agg/svn/
aglets active Yes Git https://git.code.sf.net/p/aglets/git git://git.code.sf.net/p/aglets/git
agpframework active Yes SVN https://svn.code.sf.net/p/agpframework/code/trunk svn://svn.code.sf.net/p/agpframework/code/trunk
agtk active Yes SVN https://svn.code.sf.net/p/agtk/code/trunk svn://svn.code.sf.net/p/agtk/code/trunk
ai-calibrations active No
aide moved No
